City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
331,Mathbaria,22.2876,89.9593,63.34,78,94,1.16,BD,overcast clouds
332,Baherden,38.4362,57.4316,44.29,45,0,4.03,TM,clear sky
333,Kununurra,-15.7667,128.7333,80.58,94,100,3.44,AU,overcast clouds
334,Jumla,29.2747,82.1838,37.4,31,4,4.83,NP,clear sky
335,Faanui,-16.4833,-151.75,79.25,76,100,10.74,PF,overcast clouds
336,Guaymas,27.9333,-110.9,70.45,29,2,4.97,MX,clear sky
337,Panzhihua,26.5851,101.7128,44.71,87,4,1.59,CN,clear sky
338,Abbeville,50.1,1.8333,55.36,86,97,19.53,FR,overcast clouds
339,Kumluca,36.3703,30.2869,64.17,62,5,5.12,TR,clear sky
340,Dzhebariki-Khaya,62.2167,135.8,-42.07,100,100,1.3,RU,overcast clouds
341,Lompoc,34.6391,-120.4579,60.78,68,40,6.91,US,scattered clouds
342,Ati,13.2154,18.3353,76.01,19,91,10.36,TD,overcast clouds
343,Grindavik,63.8424,-22.4338,28.35,74,40,42.57,IS,scattered clouds
344,Paamiut,61.994,-49.6678,17.33,70,0,10.89,GL,clear sky
345,Gondar,12.6,37.4667,58.86,40,4,2.91,ET,clear sky
346,Sabang,5.8933,95.3214,79.16,83,97,13.02,ID,moderate rain
